ID,Rate per Acre
13793,18000000
13794,18000000
13796,18000000
13798,18000000
13799,18000000
13800,18000000
13802,18000000
13803,18000000
13805,18000000
13811,18000000
14132,18000000
14134,18000000
14136,18000000
13812,18000000
13814,18000000
13816,18000000
13817,18000000
13821,18000000
13824,18000000
13832,18000000
13833,18000000
13835,18000000
13837,18000000
13839,18000000
13874,18000000
13876,18000000
13878,18000000
13881,18000000
13882,18000000
13885,18000000
13887,18000000
13893,18000000
13894,18000000
13898,18000000
13900,18000000
13902,18000000
13905,18000000
13907,18000000
13909,18000000
13912,18000000
13917,18000000
13931,18000000
13923,18000000
13935,18000000
13938,18000000
13941,18000000
13945,18000000
13951,18000000
13960,18000000
13954,18000000
16178,18000000
13966,18000000
13968,18000000
13972,18000000
13975,18000000
13977,18000000
13980,18000000
13991,18000000
13996,18000000
13997,18000000
13999,18000000
14004,18000000
14006,18000000
14011,18000000
14017,18000000
14023,18000000
14038,18000000
13181,18000000
13185,18000000
13188,18000000
13190,18000000
13191,18000000
13194,18000000
13196,18000000
13820,18000000
13822,18000000
13841,18000000
13843,18000000
13845,18000000
13847,18000000
13850,18000000
13852,18000000
13856,18000000
13857,18000000
13858,18000000
13859,18000000
13863,18000000
13865,18000000
13866,18000000
13869,18000000
13872,18000000
13877,18000000
13880,18000000
13883,18000000
13886,18000000
13890,18000000
13892,18000000
13897,18000000
13901,18000000
13906,18000000
13908,18000000
13911,18000000
13913,20000000
13916,20000000
13919,20000000
13921,20000000
13924,20000000
13927,18000000
13928,18000000
13929,18000000
13932,18000000
13937,18000000
13940,18000000
13942,18000000
13946,18000000
13948,18000000
13952,18000000
13959,18000000
13962,18000000
13964,18000000
13971,18000000
13974,18000000
13978,18000000
13983,18000000
13986,18000000
13990,18000000
13994,18000000
14000,18000000
14003,18000000
14005,18000000
14009,18000000
14013,18000000
14014,18000000
14019,18000000
14021,18000000
14024,16000000
14028,16000000
14085,16000000
14087,16000000
14088,16000000
14090,16000000
14092,16000000
14093,16000000
14094,16000000
14095,16000000
14096,16000000
14097,16000000
14099,16000000
14100,16000000
14102,16000000
14104,16000000
14105,16000000
14107,16000000
14110,16000000
14112,16000000
14114,16000000
14117,16000000
14118,16000000
14121,16000000
14122,16000000
14124,16000000
14126,16000000
14127,16000000
14129,16000000
14130,16000000
14131,16000000
14133,16000000
14135,16000000
14137,16000000
14138,16000000
13925,16000000
13926,16000000
13933,16000000
13936,16000000
13943,16000000
13944,16000000
13950,16000000
13955,16000000
13957,16000000
13963,16000000
13965,16000000
13969,16000000
13973,16000000
13976,16000000
13981,16000000
13984,16000000
13988,16000000
13992,16000000
13998,16000000
14002,16000000
14007,16000000
14012,16000000
14016,16000000
14026,16000000
14030,16000000
14031,16000000
14033,16000000
14036,16000000
13834,16000000
13838,16000000
13849,16000000
13860,16000000
14040,16000000
13862,16000000
13868,16000000
13871,16000000
13875,16000000
13879,16000000
13884,16000000
13889,16000000
13891,16000000
13896,16000000
13904,16000000
13910,16000000
13914,16000000
13918,16000000
13922,16000000
14043,16000000
14045,16000000
14050,16000000
14053,16000000
14055,16000000
14057,16000000
14059,16000000
14063,16000000
14067,16000000
14070,16000000
14072,16000000
14075,16000000
14077,16000000
14079,16000000
14081,16000000
14084,16000000
14086,16000000
14089,16000000
14091,16000000
14098,16000000
14101,16000000
14103,16000000
14106,16000000
14108,16000000
14109,16000000
14111,16000000
14113,16000000
14115,16000000
14116,16000000
14119,16000000
14120,16000000
14123,16000000
14125,16000000
14128,16000000
13255,14000000
13256,14000000
13257,14000000
14139,14000000
13258,14000000
13259,14000000
13260,14000000
13261,14000000
13262,14000000
13263,14000000
13264,14000000
13265,14000000
13266,14000000
13267,14000000
13268,14000000
13269,14000000
13270,14000000
13271,14000000
13272,14000000
13273,14000000
13274,14000000
13276,14000000
13278,14000000
13280,14000000
13281,14000000
13283,14000000
13284,14000000
13285,14000000
13286,16000000
13288,16000000
13289,16000000
13291,16000000
13293,16000000
13294,16000000
13295,16000000
13296,16000000
13299,16000000
13300,16000000
13302,16000000
13305,16000000
13306,16000000
13308,16000000
13309,16000000
13310,16000000
13312,16000000
13314,16000000
13316,16000000
13318,16000000
13320,16000000
13323,16000000
13325,16000000
13327,16000000
13332,16000000
13335,16000000
13337,16000000
13338,16000000
13343,16000000
13345,16000000
13348,16000000
13351,16000000
13353,16000000
13356,16000000
13358,16000000
13360,16000000
13361,16000000
13362,16000000
13363,16000000
13365,16000000
13366,16000000
13367,16000000
13368,16000000
13370,16000000
13371,16000000
13372,16000000
13373,16000000
13374,16000000
13375,16000000
13376,16000000
13378,16000000
13379,16000000
13806,16000000
13808,16000000
13818,16000000
13809,12000000
13823,12000000
13827,12000000
13828,12000000
13830,12000000
13831,12000000
13836,12000000
13840,12000000
13842,12000000
13844,12000000
13846,12000000
13848,12000000
13851,12000000
13853,12000000
13854,12000000
13855,12000000
13861,12000000
13864,12000000
13867,12000000
13870,12000000
13873,12000000
13888,12000000
13895,12000000
13899,12000000
13915,12000000
13903,12000000
13930,12000000
13934,12000000
13939,12000000
13947,12000000
13949,12000000
13953,12000000
13956,12000000
13958,12000000
13961,12000000
13967,12000000
13970,12000000
13979,12000000
13982,12000000
13985,12000000
13987,12000000
13989,12000000
13993,12000000
13995,14000000
14001,14000000
14008,14000000
14010,14000000
14015,14000000
14018,14000000
14020,14000000
14022,16000000
14025,16000000
14027,16000000
14029,16000000
14032,16000000
14034,16000000
14035,16000000
14037,16000000
14039,16000000
14041,16000000
14042,16000000
14044,16000000
14046,16000000
14047,16000000
14048,16000000
14051,16000000
14052,16000000
14054,16000000
14056,16000000
14058,16000000
14060,16000000
14061,16000000
14062,16000000
14064,16000000
14065,16000000
14066,16000000
14068,16000000
14069,16000000
14071,16000000
14073,16000000
14074,16000000
14076,16000000
14078,16000000
14080,16000000
14082,16000000
13313,16000000
13315,16000000
13317,16000000
13319,16000000
13321,16000000
13322,16000000
13324,16000000
13326,16000000
13328,16000000
13329,16000000
13330,16000000
13331,16000000
14083,16000000
13347,16000000
13349,16000000
13350,16000000
13352,16000000
13354,16000000
13355,16000000
13357,16000000
13359,16000000
13334,16000000
13336,16000000
13339,14000000
13340,14000000
13341,14000000
13342,14000000
13344,14000000
13346,14000000
13600,16000000
